idx,Name,Points,Discipline,Gender,Sex
396,LUCINDA ANN STIRLING,1.39,Lead,Female,2
397,MURIEL RUÍZ DE LARRAMENDI ARANGOA,1.35,Lead,Female,2
398,IGNACIA MELLADO QUINTEROS,1.3,Lead,Female,2
399,ROXY PERRY,1.25,Lead,Female,2
400,RONG JIANG,1.2,Lead,Female,2
401,HOMARE TODA,1.17,Lead,Female,2
402,ANDREA ROJAS,1.1,Lead,Female,2
403,SELMA ELHADJ MIMOUNE,1.05,Lead,Female,2
404,HAIMI CHO,1.04,Lead,Female,2
405,LIZA NOVAK,1,Lead,Female,2
406,NURUL IQAMAH,1,Lead,Female,2
407,YILING SONG,1,Lead,Female,2
408,DI NIU,1,Lead,Female,2
409,THEA WULFF,1,Lead,Female,2
410,LAUREN BAIR,1,Lead,Female,2
411,MICHELLE KIM THEISEN,1,Lead,Female,2
412,LENA HERRMANN,0.97,Lead,Female,2
413,KA-YAN WONG,0.95,Lead,Female,2
414,ISABELLE ADAMS,0.95,Lead,Female,2
415,STELLA PLANTIN,0.95,Lead,Female,2
416,ARIES SUSANTI RAHAYU,0.95,Lead,Female,2
417,ISABELLE HARE,0.9,Lead,Female,2
418,RAJIAH SALLSABILLAH,0.9,Lead,Female,2
419,PATRYCJA CHUDZIAK,0.85,Lead,Female,2
420,SARI AGUSTINA,0.85,Lead,Female,2
421,LISA DE MARTINI,0.85,Lead,Female,2
422,PHILIPPA WATKIN,0.85,Lead,Female,2
423,JULIA MASSULLO,0.82,Lead,Female,2
424,LISA-MARIE KVANDAHL,0.82,Lead,Female,2
425,KLAUDIA BUCZEK,0.8,Lead,Female,2
426,MULYANI MUDJI,0.8,Lead,Female,2
427,ARIANE FRANKEN,0.8,Lead,Female,2
428,VALENTINE MANGIN,0.8,Lead,Female,2
429,GWYNETH UTTLEY,0.8,Lead,Female,2
430,LUCIE WATILLON,0.8,Lead,Female,2
431,ANNA ZAIKINA,0.8,Lead,Female,2
432,LUCIA DÖRFFEL,0.77,Lead,Female,2
433,ELFE CLAES,0.75,Lead,Female,2
434,LESLEY LADLAD,0.75,Lead,Female,2
435,MEAGAN MARTIN,0.75,Lead,Female,2
436,ELINE NÆSHEIM,0.75,Lead,Female,2
437,AYALA KEREM,0.72,Lead,Female,2
438,CHRISTY SPURRELL,0.7,Lead,Female,2
439,MARGOT VERHAEREN,0.67,Lead,Female,2
440,OLIVIA WYETT,0.67,Lead,Female,2
441,DENISE BERTRAM,0.65,Lead,Female,2
442,RAGNHILD ERIKSRUD,0.65,Lead,Female,2
443,MONIKA PROKOPIUK-KAWECKA,0.65,Lead,Female,2
444,SUNNIVA ØVRE-EIDE,0.65,Lead,Female,2
445,EMILIE PELLERIN,0.65,Lead,Female,2
446,FRANCESCA MEDICI,0.65,Lead,Female,2
447,CELINE FERGEAU,0.65,Lead,Female,2
448,JENNIFER DE LA TORRE,0.6,Lead,Female,2
449,MARTINA BLANCHET,0.6,Lead,Female,2
450,JORUN RENNAN,0.6,Lead,Female,2
451,ROMY FUCHS,0.55,Lead,Female,2
452,LENKA SLEZAKOVA,0.55,Lead,Female,2
453,IDA MARIE HØIAAS,0.55,Lead,Female,2
454,JULIJA KRUDER,0.55,Lead,Female,2
455,MAYA DREAMER,0.5,Lead,Female,2
456,KAJA SKVARC BOZIC,0.5,Lead,Female,2
457,MAJA RUDKA,0.5,Lead,Female,2
458,ELISKA NOVOTNA,0.5,Lead,Female,2
459,BIBIANA DAHLE NESS,0.5,Lead,Female,2
460,KYLIE CULLEN,0.5,Lead,Female,2
461,TOMOA NARASAKI,1795.84,Boulder,Male,1
462,KOKORO FUJII,1638,Boulder,Male,1
463,JONGWON CHON,1604.82,Boulder,Male,1
464,ALEKSEY RUBTSOV,1495,Boulder,Male,1
465,JAN HOJER,1118.64,Boulder,Male,1
466,JERNEJ KRUDER,1116.5,Boulder,Male,1
467,YOSHIYUKI OGATA,1077,Boulder,Male,1
468,REI SUGIMOTO,1058.5,Boulder,Male,1
469,JAKOB SCHUBERT,819.12,Boulder,Male,1
470,ADAM ONDRA,794.5,Boulder,Male,1
471,MANUEL CORNU,731.77,Boulder,Male,1
472,SEAN MCCOLL,655.26,Boulder,Male,1
473,KEITA WATABE,604.73,Boulder,Male,1
474,ALBAN LEVIER,534.43,Boulder,Male,1
475,MICKAEL MAWEM,529.56,Boulder,Male,1
476,NATHANIEL COLEMAN,529.42,Boulder,Male,1
477,GREGOR VEZONIK,523.76,Boulder,Male,1
478,TOMOAKI TAKATA,506.9,Boulder,Male,1
479,RUSTAM GELMANOV,469.5,Boulder,Male,1
480,ANZE PEHARC,429.05,Boulder,Male,1
481,KAI HARADA,415.8,Boulder,Male,1
482,JEREMY BONDER,411.12,Boulder,Male,1
483,DMITRII SHARAFUTDINOV,391.98,Boulder,Male,1
484,MICHAEL PICCOLRUAZ,386.12,Boulder,Male,1
485,GABRIELE MORONI,380.31,Boulder,Male,1
486,TAISEI ISHIMATSU,378.5,Boulder,Male,1
487,MARTIN STRANIK,375.63,Boulder,Male,1
488,TSUKURU HORI,375.52,Boulder,Male,1
489,YUJI INOUE,369.14,Boulder,Male,1
490,ALEX KHAZANOV,334.18,Boulder,Male,1
491,SEAN BAILEY,312.92,Boulder,Male,1
492,SERGII TOPISHKO,310.04,Boulder,Male,1
493,ALEXANDER MEGOS,288.82,Boulder,Male,1
494,ROLANDS RUGENS,285.52,Boulder,Male,1
495,MEICHI NARASAKI,281.81,Boulder,Male,1
496,DAVID FIRNENBURG,242.74,Boulder,Male,1
497,JORG VERHOEVEN,215.04,Boulder,Male,1
498,GHOLAMALI BARATZADEH,196.54,Boulder,Male,1
499,TYLER LANDMAN,196.03,Boulder,Male,1
500,YANNICK FLOHÉ,194.02,Boulder,Male,1
501,VADIM TIMONOV,184.66,Boulder,Male,1
502,NATHAN PHILLIPS,172.13,Boulder,Male,1
503,NICOLAI UZNIK,158,Boulder,Male,1
504,MEJDI SCHALCK,157,Boulder,Male,1
505,ANDRZEJ MECHERZYNSKI-WIKTOR,143.76,Boulder,Male,1
506,SIMON LORENZI,134.72,Boulder,Male,1
507,KEITA DOHI,129.64,Boulder,Male,1
508,ALEXANDER AVERDUNK,125.06,Boulder,Male,1
509,RYUICHI MURAI,120.5,Boulder,Male,1
510,YUFEI PAN,119.14,Boulder,Male,1
511,SOHTA AMAGASA,119,Boulder,Male,1
512,BAPTISTE OMETZ,112.96,Boulder,Male,1
513,ALFONS DORNAUER,109.63,Boulder,Male,1
514,DOMEN SKOFIC,106.84,Boulder,Male,1
515,NICOLAS PELORSON,101.42,Boulder,Male,1
516,DAVID BARRANS,97.74,Boulder,Male,1
517,JAMES KASSAY,90,Boulder,Male,1
518,MORITZ HANS,88.12,Boulder,Male,1
519,JASON HOLOWACH,86.12,Boulder,Male,1
520,TIM REUSER,86,Boulder,Male,1
