idx,Country,Points,Year,Discipline
268,AUT,866.18,2016,Boulder
269,BEL,138.5,2016,Boulder
270,CAN,405.34,2016,Boulder
271,CHI,0,2016,Boulder
272,CHN,10.99,2016,Boulder
273,CZE,221.82,2016,Boulder
274,DEN,7.5,2016,Boulder
275,ECU,0,2016,Boulder
276,ESP,23.12,2016,Boulder
277,FIN,2.29,2016,Boulder
278,FRA,1538.58,2016,Boulder
279,GBR,1111.34,2016,Boulder
280,GER,629.71,2016,Boulder
281,GUA,0.06,2016,Boulder
282,HKG,1.5,2016,Boulder
283,HUN,0,2016,Boulder
284,IND,22.88,2016,Boulder
285,IRI,105.2,2016,Boulder
286,IRL,0.52,2016,Boulder
287,ISR,28.52,2016,Boulder
288,ITA,314.52,2016,Boulder
289,JPN,2603.66,2016,Boulder
290,KAZ,0,2016,Boulder
291,KOR,516.29,2016,Boulder
292,LAT,142.5,2016,Boulder
293,LTU,28.6,2016,Boulder
294,MEX,0,2016,Boulder
295,NED,186.11,2016,Boulder
296,NEP,1.78,2016,Boulder
297,NOR,17.42,2016,Boulder
298,POL,26.18,2016,Boulder
299,RUS,850.58,2016,Boulder
300,SGP,11.32,2016,Boulder
301,SLO,407.9,2016,Boulder
302,SRB,125,2016,Boulder
303,SUI,319.81,2016,Boulder
304,SVK,13.56,2016,Boulder
305,SWE,0,2016,Boulder
306,THA,0,2016,Boulder
307,TPE,54.5,2016,Boulder
308,UKR,80.4,2016,Boulder
309,USA,491.68,2016,Boulder
310,ARG,0,2017,Boulder
311,AUS,13.5,2017,Boulder
312,AUT,612.52,2017,Boulder
313,BEL,162.37,2017,Boulder
314,CAN,175.64,2017,Boulder
315,CHI,0,2017,Boulder
316,CHN,20.21,2017,Boulder
317,CZE,28.32,2017,Boulder
318,DEN,3.08,2017,Boulder
319,ECU,0,2017,Boulder
320,ESP,39.68,2017,Boulder
321,FIN,1.5,2017,Boulder
322,FRA,793.68,2017,Boulder
323,GBR,973.3,2017,Boulder
324,GER,862.98,2017,Boulder
325,GUA,0,2017,Boulder
326,HKG,0,2017,Boulder
327,HUN,0,2017,Boulder
328,IND,6.31,2017,Boulder
329,IRI,105.64,2017,Boulder
330,IRL,0,2017,Boulder
331,ISR,34.46,2017,Boulder
332,ITA,129.36,2017,Boulder
333,JPN,3435.88,2017,Boulder
334,KAZ,4.12,2017,Boulder
335,KOR,718.74,2017,Boulder
336,LAT,103.5,2017,Boulder
337,LTU,0.52,2017,Boulder
338,MEX,0,2017,Boulder
339,NED,28.7,2017,Boulder
340,NEP,4,2017,Boulder
341,NOR,30.14,2017,Boulder
342,POL,11.26,2017,Boulder
343,RUS,662.92,2017,Boulder
344,SGP,1.24,2017,Boulder
345,SLO,1039.48,2017,Boulder
346,SRB,234.5,2017,Boulder
347,SUI,381.18,2017,Boulder
348,SVK,0,2017,Boulder
349,SWE,0.7,2017,Boulder
350,THA,11.38,2017,Boulder
351,TPE,82.32,2017,Boulder
352,UKR,151.48,2017,Boulder
353,USA,409.72,2017,Boulder
354,ARG,1.5,2018,Boulder
355,AUS,38.5,2018,Boulder
356,AUT,827.41,2018,Boulder
357,BEL,160.72,2018,Boulder
358,CAN,252.16,2018,Boulder
359,CHI,0,2018,Boulder
360,CHN,9.52,2018,Boulder
361,CZE,28.5,2018,Boulder
362,DEN,3.62,2018,Boulder
363,ECU,0,2018,Boulder
364,ESP,29.74,2018,Boulder
365,FIN,0,2018,Boulder
366,FRA,924.15,2018,Boulder
367,GBR,391.22,2018,Boulder
368,GER,591.67,2018,Boulder
369,GUA,0,2018,Boulder
370,HKG,2.04,2018,Boulder
371,HUN,0,2018,Boulder
372,IND,0,2018,Boulder
373,IRI,0.82,2018,Boulder
374,IRL,0,2018,Boulder
375,ISR,185.32,2018,Boulder
376,ITA,275.11,2018,Boulder
377,JPN,3788.94,2018,Boulder
378,KAZ,0,2018,Boulder
379,KOR,419.84,2018,Boulder
380,LAT,36.52,2018,Boulder
381,LTU,0,2018,Boulder
382,MEX,0,2018,Boulder
383,NED,18.48,2018,Boulder
384,NEP,0,2018,Boulder
385,NOR,39.97,2018,Boulder
